    t, "Nx2D", "Nx2E", "Nx2F"
    0, -5248, 8894, -12912
    1, -5687, 8885, -12182
    2, -6100, 8885, -11620
    3, -6399, 8885, -11268
    4, -6153, 8885, -11584
    5, -6170, 8903, -11567
    6, -6197, 9035, -11558
    7, -6188, 9281, -11567
    8, -6170, 9263, -11541
    9, -6390, 9263, -11303
   10, -6179, 9263, -11514
   11, -5968, 9263, -11787
   12, -5775, 9263, -12077
   13, -5502, 9272, -12499
   14, -5300, 9272, -12850
   15, -5397, 9281, -12701
   16, -5371, 9395, -12683
   17, -5379, 9377, -12674
   18, -5371, 9333, -12683
   19, -5371, 9210, -12736
   20, -5344, 9079, -12789
   21, -5344, 8903, -12841
